filepath,label,label_id
data/dataset_filtered\Strawberry___leaf_scorch\09b06335-77d4-465f-936e-7de45a4c2ae1___RS_L.Scorch_0841.jpg,Strawberry___leaf_scorch,32
data/dataset_filtered\Apple__Healthy\FreshApple_(62).jpg,Apple__Healthy,0
data/dataset_filtered\Tomato__target_spot\c0713445-c94b-4878-884d-afacbd45e0ba___Com.G_TgS_FL_9866.jpg,Tomato__target_spot,45
data/dataset_filtered\Potato___Late_Blight\c89d5a2a-2c1e-496e-84b8-b7a844a97ac9___RS_LB_4920.jpg,Potato___Late_Blight,24
data/dataset_filtered\Cucumber__healthy\freshCucumber_(342).jpg,Cucumber__healthy,10
data/dataset_filtered\Cucumber__healthy\IMG20200629183030.jpg,Cucumber__healthy,10
data/dataset_filtered\Strawberry__Rotten\rottenStrawberry_(508).jpg,Strawberry__Rotten,31
data/dataset_filtered\Grape__black_rot\Grape_Black_rot1735.jpg,Grape__black_rot,12
data/dataset_filtered\Peach__bacterial_spot\5ebaad17-de10-45f9-98a9-0e32ba0c6c5d___Rutg._Bact.S_1624.jpg,Peach__bacterial_spot,19
data/dataset_filtered\Apple__Healthy\FreshApple_(2).jpg,Apple__Healthy,0
data/dataset_filtered\Tomato__yellow_leaf_curl_virus\0734ea54-1d91-4a7c-a42c-805ffc3e3245___UF.GRC_YLCV_Lab_02770.jpg,Tomato__yellow_leaf_curl_virus,46
data/dataset_filtered\Pepper__bell___Bacterial_spot\e82b5cb6-796c-45cb-a2a7-89bf723ecb8a___NREC_B.Spot_1854.jpg,Pepper__bell___Bacterial_spot,20
data/dataset_filtered\Rice___Healthy\IMG_20190419_162206.jpg,Rice___Healthy,25
data/dataset_filtered\Soybean__caterpillar\caterpillar_(2198).jpg,Soybean__caterpillar,28
data/dataset_filtered\Rice___Neck_Blast\IMG20201109211545_00.jpg,Rice___Neck_Blast,27
data/dataset_filtered\Wheat___Healthy\Healthy1114.jpg,Wheat___Healthy,48
data/dataset_filtered\Tomato_Septoria_leaf_spot\ce36c943-7a6b-4437-b5cc-773c511eeb55___Matt.S_CG_7800.jpg,Tomato_Septoria_leaf_spot,38
data/dataset_filtered\Mango__healthy\326.jpg,Mango__healthy,16
data/dataset_filtered\Grape__black_rot\grape_black_rot4731.jpg,Grape__black_rot,12
data/dataset_filtered\Tomato__healthy\16fd1407-644b-42f1-a40a-6cacd9bc0258___RS_HL_9705.jpg,Tomato__healthy,42
data/dataset_filtered\Apple__Healthy\FreshApple_(133).jpg,Apple__Healthy,0
data/dataset_filtered\Orange__Healthy\rotated_by_60_Screen_Shot_2018-06-13_at_12.13.44_AM.png,Orange__Healthy,17
data/dataset_filtered\Potato___Early_blight\0ed45bc2-c8cc-4d65-8f53-bdc10d78a7dc___RS_Early.B_8504.jpg,Potato___Early_blight,23
data/dataset_filtered\Corn___Common_Rust\image_(31).jpg,Corn___Common_Rust,7
